,1,0:00:02
,2,0:00:04
,3,0:00:06
,4,0:00:08
,5,0:00:10
,6,0:00:12
,7,0:00:13
,8,0:00:16
,9,0:00:18
,10,0:00:20
,11,0:00:22
,12,0:00:24
,13,0:00:26
,14,0:00:28
,15,0:00:30
,16,0:00:32
,17,0:00:34
,18,0:00:36
,19,0:00:38
,20,0:00:40
,21,0:00:42
,22,0:00:56
,23,0:01:08
,24,0:01:09
,25,0:01:10
,26,0:01:11
,27,0:01:12
,28,0:01:13
,29,0:01:14
,30,0:01:15
,31,0:01:16
,32,0:01:17
,33,0:01:18
,34,0:01:19
,35,0:01:20
,36,0:01:21
,37,0:01:22
,38,0:01:23
,39,0:01:24
,40,0:01:25
,41,0:01:26
,42,0:01:30
,43,0:01:32
,44,0:01:34
,45,0:01:36
,46,0:01:38
,47,0:01:40
,48,0:01:42
,49,0:01:44
,50,0:01:46
,51,0:01:48
,52,0:01:50
,53,0:01:52
,54,0:01:54
,55,0:01:56
,56,0:01:58
